Timestamp,Attention,Meditation,Theta,Alpha,Delta
19:04:52.013384,0,0,49,49,49
19:04:53.015884,0,0,50,50,50
19:04:54.009617,0,0,129,129,129
19:04:55.018873,0,0,60,60,60
19:04:56.023945,0,0,22,22,22
19:04:57.011563,0,0,295,295,295
19:04:58.017734,40,0,202,202,202
19:04:59.013825,48,30,16,16,16
19:04:59.979618,53,27,156,156,156
19:05:01.003726,53,44,74,74,74
19:05:02.027802,66,51,2,2,2
19:05:02.977210,57,57,2,2,2
19:05:03.979307,56,61,53,53,53
19:05:04.983927,53,37,72,72,72
19:05:05.980256,61,30,75,75,75
19:05:06.962836,74,40,27,27,27
19:05:07.962796,84,47,18,18,18
19:05:08.971588,100,47,85,85,85
19:05:09.951071,90,43,99,99,99
19:05:10.950523,90,48,86,86,86
19:05:11.948273,80,53,69,69,69
19:05:12.950721,47,70,37,37,37
19:05:13.961535,34,61,42,42,42
19:05:14.935731,34,56,55,55,55
19:05:15.934830,51,67,-29,-29,-29
19:05:16.936312,56,66,123,123,123
19:05:17.943466,66,60,12,12,12
19:05:18.927738,44,53,37,37,37
19:05:19.913903,44,27,40,40,40
19:05:20.921038,63,17,20,20,20
19:05:21.909363,69,48,68,68,68
19:05:22.907498,87,57,129,129,129
19:05:23.907066,63,78,-110,-110,-110
19:05:24.914082,50,100,25,25,25
19:05:25.911299,41,97,107,107,107
19:05:26.888389,53,91,54,54,54
19:05:27.920823,77,74,122,122,122
19:05:28.881493,83,47,59,59,59
19:05:29.882394,100,63,80,80,80
19:05:30.869718,81,64,76,76,76
19:05:31.879212,61,67,87,87,87
19:05:32.889925,56,70,71,71,71
19:05:33.862361,30,43,35,35,35
19:05:34.865088,35,34,42,42,42
19:05:35.863829,37,44,35,35,35
19:05:36.867356,44,56,44,44,44
19:05:37.869381,70,69,70,70,70
19:05:38.863995,60,66,-13,-13,-13
